ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews,View Label
cjpos78ijre1x0795y49gyc6j,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F1.jpg?alt=media&token=f0e52c20-ab87-4758-aa69-898b2dd80311,"{""Waldo"":[{""geometry"":[{""x"":706,""y"":512},{""x"":706,""y"":562},{""x"":743,""y"":562},{""x"":743,""y"":512}]}]}",shough266@gmail.com,Waldo,1544837231000,35.469,1.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjpos78ijre1x0795y49gyc6j
cjpos9d2x5gdd0873y9t8134j,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F2.jpg?alt=media&token=42ae10e1-eb18-4332-a6ad-bb0099e8153c,"{""Waldo"":[{""geometry"":[{""x"":81,""y"":521},{""x"":81,""y"":554},{""x"":107,""y"":554},{""x"":107,""y"":521}]}]}",shough266@gmail.com,Waldo,1544837331000,99.125,2.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjpos9d2x5gdd0873y9t8134j
cjposae1hre980795w9ygcl5z,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F3.jpg?alt=media&token=85225907-d7de-40c4-acae-0a158dadb189,"{""Waldo"":[{""geometry"":[{""x"":1422,""y"":499},{""x"":1388,""y"":499},{""x"":1388,""y"":463},{""x"":1422,""y"":463}]}]}",shough266@gmail.com,Waldo,1544837378000,47.892,3.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposae1hre980795w9ygcl5z
cjposbcy5tnfu07213b4j972z,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F4.jpg?alt=media&token=447831e3-984b-4343-b997-f43b802549a0,"{""Waldo"":[{""geometry"":[{""x"":1484,""y"":279},{""x"":1484,""y"":306},{""x"":1507,""y"":306},{""x"":1507,""y"":279}]}]}",shough266@gmail.com,Waldo,1544837424000,45.361,4.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposbcy5tnfu07213b4j972z
cjposm4nq5ho90873tvygo8ms,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F5.jpg?alt=media&token=0fa757b2-a9d4-436d-b3a9-8b9796538ff3,"{""Waldo"":[{""geometry"":[{""x"":1582,""y"":592},{""x"":1582,""y"":633},{""x"":1614,""y"":633},{""x"":1614,""y"":592}]},{""geometry"":[{""x"":612,""y"":1333},{""x"":612,""y"":1365},{""x"":639,""y"":1365},{""x"":639,""y"":1333}]}]}",shough266@gmail.com,Waldo,1544837926000,502.309,5.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposm4nq5ho90873tvygo8ms
cjposn4jx5hq20873yvew6d64,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F6.jpg?alt=media&token=638b105c-cfdf-4826-ae80-366653125ebd,"{""Waldo"":[{""geometry"":[{""x"":1714,""y"":408},{""x"":1714,""y"":452},{""x"":1755,""y"":452},{""x"":1755,""y"":408}]}]}",shough266@gmail.com,Waldo,1544837973000,46.749,6.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposn4jx5hq20873yvew6d64
cjposo1wctp2a0721j29yu38t,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F7.jpg?alt=media&token=29b1c1f0-4f34-4eea-a88b-0573678fe447,"{""Waldo"":[{""geometry"":[{""x"":815,""y"":950},{""x"":815,""y"":1000},{""x"":852,""y"":1000},{""x"":852,""y"":950}]}]}",shough266@gmail.com,Waldo,1544838016000,42.964,7.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposo1wctp2a0721j29yu38t
cjposqecmrfm50795uf1xa7ap,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F8.jpg?alt=media&token=0bc28135-b6f3-48f7-bb1a-d470aa3c343b,"{""Waldo"":[{""geometry"":[{""x"":617,""y"":129},{""x"":617,""y"":230},{""x"":706,""y"":230},{""x"":706,""y"":129}]},{""geometry"":[{""x"":1156,""y"":292},{""x"":1156,""y"":321},{""x"":1190,""y"":321},{""x"":1190,""y"":292}]}]}",shough266@gmail.com,Waldo,1544838125000,109.58,8.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposqecmrfm50795uf1xa7ap
cjposrfb1tp9f07215j7ro9sw,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F9.jpg?alt=media&token=d83ec104-98df-4f07-9193-20e524643a05,"{""Waldo"":[{""geometry"":[{""x"":230,""y"":735},{""x"":230,""y"":769},{""x"":261,""y"":769},{""x"":261,""y"":735}]}]}",shough266@gmail.com,Waldo,1544838173000,47.89,9.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposrfb1tp9f07215j7ro9sw
cjposx8s7rfzj07953dcdrxj5,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F10.jpg?alt=media&token=f654ab78-ae00-4473-86d8-b51fe8c970ab,"{""Waldo"":[{""geometry"":[{""x"":429,""y"":83},{""x"":429,""y"":146},{""x"":483,""y"":146},{""x"":483,""y"":83}]},{""geometry"":[{""x"":517,""y"":735},{""x"":517,""y"":755},{""x"":534,""y"":755},{""x"":534,""y"":735}]}]}",shough266@gmail.com,Waldo,1544838445000,271.372,10.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjposx8s7rfzj07953dcdrxj5
cjpr4aalxjlr20873qc6xt4yi,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F11.jpg?alt=media&token=8f5a4dd5-3042-42f5-96c2-22d3fdf60dd4,"{""Waldo"":[{""geometry"":[{""x"":460,""y"":1530},{""x"":460,""y"":1557},{""x"":482,""y"":1557},{""x"":482,""y"":1530}]}]}",shough266@gmail.com,Waldo,1544978462000,374.193,11.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjpr4aalxjlr20873qc6xt4yi
cjpr4bs6djlwi0873iurxr1q0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjpog3b3a1xct08731hm098ez%2Fcbfeb508-b5fa-48ca-9f32-eb763794fed5%2F12.jpg?alt=media&token=65f484ba-47c9-431d-90a9-4dc3f751dfc4,"{""Waldo"":[{""geometry"":[{""x"":845,""y"":518},{""x"":845,""y"":563},{""x"":878,""y"":563},{""x"":878,""y"":518}]}]}",shough266@gmail.com,Waldo,1544978531000,69.877,12.jpg,,Waldo,[],https://image-segmentation-v4.labelbox.com?project=cjpog3l291xhu0873hwpmcprn&label=cjpr4bs6djlwi0873iurxr1q0
